Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:39.313921;0.02312063;-0.003956768;0.002448947;1.91089483;0.011175957;1;0;0;
17:16:39.324733;0.02312063;-0.003165414;0.002400233;1.910872527;0.014954617;1;0;0;
17:16:39.335150;0.02312063;-0.002532331;0.002356684;1.910853085;0.017438216;1;0;0;
17:16:39.345775;0.02312063;-0.002025865;0.002314032;1.910834529;0.01998491;1;0;0;
17:16:39.355696;0.02312063;-0.001620692;0.002272043;1.910816761;0.019509209;1;0;0;
17:16:39.368329;0.02312063;-0.001296554;0.002227557;1.910798513;0.019590942;1;0;0;
17:16:39.378468;0.02312063;-0.001037243;0.002187399;1.910782582;0.021046896;1;0;0;
17:16:39.389185;0.024133776;0.018149859;0.002178337;1.910796825;0.02094244;1;0;0;
17:16:39.401781;0.025148787;0.030966452;0.002200549;1.910846065;0.025616869;1;0;0;
17:16:39.413002;0.025148787;0.024773162;0.002217484;1.910885908;0.031969626;1;0;0;
17:16:39.422678;0.02413564;0.000120329;0.00220532;1.910896492;0.035706606;1;0;0;
17:16:39.432678;0.02413564;9.63E-05;0.002192834;1.910907314;0.034640506;1;0;0;
17:16:39.442749;0.02413564;7.70E-05;0.002180954;1.910917574;0.032111052;1;0;0;
17:16:39.454296;0.02413564;6.16E-05;0.002168448;1.910928336;0.029874906;1;0;0;
17:16:39.465267;0.026164992;0.037236058;0.002214074;1.910997881;0.026087185;1;0;0;
17:16:39.476626;0.026164992;0.029788847;0.00225614;1.911064121;0.022548104;1;0;0;
17:16:39.486931;0.026164992;0.023831077;0.002295089;1.911127586;0.022735059;1;0;0;
17:16:39.496056;0.026164992;0.019064862;0.002329053;1.911184895;0.023640018;1;0;0;
17:16:39.507429;0.026164992;0.015251889;0.002362572;1.911243576;0.028617244;1;0;0;
17:16:39.518626;0.026164992;0.012201512;0.002393951;1.911300782;0.034194581;1;0;0;
17:16:39.527726;0.026164992;0.009761209;0.002420879;1.911351964;0.034971766;1;0;0;
17:16:39.538520;0.026164992;0.007808967;0.002446368;1.911402546;0.028543007;1;0;0;
17:16:39.549491;0.026164992;0.006247174;0.002470678;1.911453124;0.019191071;1;0;0;
17:16:39.559007;0.026164992;0.004997739;0.002492061;1.911499904;0.011204327;1;0;0;
17:16:39.569598;0.026164992;0.003998191;0.002511479;1.911544669;0.001734829;1;0;0;
17:16:39.581613;0.026164992;0.003198553;0.002529621;1.911588914;0.001681458;1;0;0;
17:16:39.590090;0.026164992;0.002558842;0.00254657;1.911632902;0.005042396;1;0;0;
17:16:39.601607;0.026164992;0.002047074;0.002561916;1.911675548;0.00851599;1;0;0;
17:16:39.610869;0.026164992;0.001637659;0.002574987;1.911714596;0.007458685;1;0;0;
17:16:39.621204;0.02515232;-0.018795467;0.002559683;1.911725154;0.003215997;1;0;0;
17:16:39.631996;0.02515232;-0.015036374;0.002543246;1.911736558;-0.00472699;1;0;0;
17:16:39.642219;0.02515232;-0.012029099;0.002528135;1.911747099;-0.011019082;1;0;0;
17:16:39.653962;0.02515232;-0.009623279;0.002511894;1.911758485;-0.011955241;1;0;0;
17:16:39.663805;0.02515232;-0.007698623;0.002497004;1.911768976;-0.012523822;1;0;0;
