Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega
17:20:53.284140;-0.00750865;-0.021727369;0.135486309;-0.177008617;0.070983604;1;0;0
17:20:53.295691;-0.00750865;-0.017381895;0.136720588;-0.174153211;0.067109615;1;0;0
17:20:53.305928;-0.00750865;-0.013905516;0.137768667;-0.171693129;0.060481541;1;0;0
17:20:53.316935;-0.00750865;-0.011124413;0.138825454;-0.169181574;0.060617268;1;0;0
17:20:53.327176;-0.00750865;-0.00889953;0.139829726;-0.166767737;0.065311365;1;0;0
17:20:53.337917;-0.006509945;0.011713315;0.140749246;-0.164360317;0.072507106;1;0;0
17:20:53.347502;-0.006509945;0.009370652;0.141659206;-0.16197114;0.080634706;1;0;0
17:20:53.358262;-0.006509945;0.007496522;0.142536492;-0.159662345;0.084145054;1;0;0
17:20:53.368794;-0.00750865;-0.013323873;0.143559231;-0.157160774;0.082641773;1;0;0
17:20:53.379063;-0.00750865;-0.010659099;0.144554757;-0.154705562;0.071555354;1;0;0
17:20:53.391454;-0.00750865;-0.008527279;0.145678342;-0.151912754;0.060824528;1;0;0
17:20:53.400851;-0.00750865;-0.006821823;0.146715721;-0.149315735;0.052728884;1;0;0
17:20:53.410795;-0.008506801;-0.025274734;0.147809179;-0.146738811;0.042195056;1;0;0
17:20:53.421607;-0.008523132;-0.020544041;0.148892683;-0.144160995;0.035949305;1;0;0
17:20:53.431335;-0.008523132;-0.016435233;0.149965901;-0.141582871;0.034310695;1;0;0
17:20:53.441454;-0.009537858;-0.031732076;0.151248557;-0.138655492;0.031537462;1;0;0
17:20:53.452309;-0.009537858;-0.025385661;0.152418595;-0.135950052;0.028801443;1;0;0
17:20:53.462142;-0.009537858;-0.020308528;0.15357161;-0.133253179;0.025079587;1;0;0
17:20:53.474143;-0.008539153;0.000814436;0.154758902;-0.13026103;0.022520164;1;0;0
17:20:53.484702;-0.008539153;0.000651549;0.155824353;-0.127563699;0.021656791;1;0;0
17:20:53.494852;-0.00955412;-0.019026862;0.157000449;-0.12476336;0.021021998;1;0;0
17:20:53.505084;-0.00955412;-0.015221489;0.158134586;-0.122038994;0.021699697;1;0;0
17:20:53.514342;-0.010552825;-0.03195502;0.159379835;-0.119190405;0.021863373;1;0;0
17:20:53.525658;-0.011684905;-0.047173855;0.160793042;-0.116099874;0.022265639;1;0;0
17:20:53.536157;-0.011684905;-0.037739084;0.162225311;-0.112919085;0.019218154;1;0;0
17:20:53.546430;-0.010686201;-0.01162902;0.163499756;-0.109892132;0.018892935;1;0;0
17:20:53.557243;-0.011700629;-0.028558903;0.164862883;-0.106799107;0.013792804;1;0;0
17:20:53.567519;-0.011700629;-0.022847122;0.166207457;-0.103710767;0.009915339;1;0;0
17:20:53.578599;-0.011700629;-0.018277698;0.167497316;-0.100715459;0.010793228;1;0;0
17:20:53.588654;-0.011700629;-0.014622158;0.168768869;-0.097733603;0.017275287;1;0;0
17:20:53.599269;-0.011700629;-0.011697727;0.170095845;-0.094593395;0.023990614;1;0;0
17:20:53.610099;-0.011700629;-0.009358181;0.171423205;-0.091425754;0.026756307;1;0;0
17:20:53.620886;-0.012715291;-0.026281418;0.172873499;-0.088116719;0.026959065;1;0;0
17:20:53.630889;-0.012715291;-0.021025134;0.174210564;-0.085032464;0.023206109;1;0;0
17:20:53.640850;-0.013713996;-0.03565035;0.175729337;-0.081657684;0.018156189;1;0;0
